sci_data_set_name,sci_targname,sci_hapnum,sci_haspnum,sci_hslanum,sci_instrume,sci_aper_1234,sci_spec_1234,sci_actual_duration,sci_start_time,sci_pep_id,sci_pi_last_name,sci_ra,sci_dec,sci_refnum,sci_central_wavelength,sci_release_date,sci_stop_time,sci_preview_name,scp_scan_type,sci_hlsp
IBF301050,M31-B01-F01-IR,1,0,0,WFC3  ,IR-FIX,F160W,1197.693786,2010-12-14T06:05:28.087000,12058,DALCANTON,10.84864041667,41.25498888889,32,15369.176,2010-12-14T21:52:53,2010-12-14T06:42:47.317000,IBF301050,,9
IBF301HZQ,M31-B01-F01-IR,0,0,0,WFC3  ,IR-FIX,F110W,799.231873,2010-12-14T06:13:09.077000,12058,DALCANTON,10.84869725723,41.25502687448,32,11534.459,2010-12-14T21:41:55,2010-12-14T06:26:28.310000,IBF301HZQ,,1
IBF301IAQ,M31-B01-F01-IR,0,0,0,WFC3  ,IR-FIX,F160W,499.231873,2010-12-14T06:44:46.103000,12058,DALCANTON,10.84867033674,41.25504090078,32,15369.176,2010-12-14T21:42:31,2010-12-14T06:53:05.333000,IBF301IAQ,,
IBF301030,M31-B01-F01-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F336W,1350.0,2010-12-14T03:24:58.600000,12058,DALCANTON,10.84988779557,41.25507836507,32,3354.57375,2010-12-14T13:41:44,2010-12-14T04:51:28.597000,IBF301030,,9
IBF301040,M31-B01-F01-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F275W,1010.0,2010-12-14T04:29:38.600000,12058,DALCANTON,10.84988779557,41.25507836507,32,2706.4933,2010-12-14T13:42:02,2010-12-14T05:05:06.583000,IBF301040,,9
JBF304010,M31-B01-F01-WFC,1,0,0,ACS   ,WFC,CLEAR1L;F814W,1520.0,2010-07-22T21:05:37.257000,12058,DALCANTON,10.84465431408,41.25135782487,32,8045.5298,2010-07-23T02:53:35,2010-07-22T21:46:00.320000,JBF304010,,9
JBF304020,M31-B01-F01-WFC,1,0,0,ACS   ,WFC,F475W;CLEAR2L,1720.0,2010-07-22T22:34:36.263000,12058,DALCANTON,10.84465566907,41.25135757242,32,4746.957,2010-07-23T04:57:59,2010-07-22T23:18:03.297000,JBF304020,,9
IBF302050,M31-B01-F02-IR,1,0,0,WFC3  ,IR-FIX,F160W,1197.693786,2010-12-16T17:12:31.093000,12058,DALCANTON,10.80853958333,41.26841111111,32,15369.176,2010-12-17T03:14:42,2010-12-16T18:55:04.310000,IBF302050,,9
IBF302WHQ,M31-B01-F02-IR,0,0,0,WFC3  ,IR-FIX,F110W,799.231873,2010-12-16T17:43:36.087000,12058,DALCANTON,10.80859643557,41.2684490967,32,11534.459,2010-12-17T03:05:16,2010-12-16T17:56:55.317000,IBF302WHQ,,1
IBF302WSQ,M31-B01-F02-IR,0,0,0,WFC3  ,IR-FIX,F160W,499.231873,2010-12-16T19:27:29.077000,12058,DALCANTON,10.80856950955,41.268463123,32,15369.176,2010-12-17T03:11:25,2010-12-16T19:35:48.310000,IBF302WSQ,,
IBF302030,M31-B01-F02-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F336W,1350.0,2010-12-16T15:49:44.583000,12058,DALCANTON,10.80978721863,41.26850058728,32,3354.57375,2010-12-17T00:55:52,2010-12-16T16:23:15.573000,IBF302030,,9
IBF302040,M31-B01-F02-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F275W,1010.0,2010-12-16T16:01:25.607000,12058,DALCANTON,10.80978721863,41.26850058728,32,2706.4933,2010-12-17T00:58:58,2010-12-16T16:36:53.590000,IBF302040,,9
JBF305010,M31-B01-F02-WFC,1,0,0,ACS   ,WFC,CLEAR1L;F814W,1520.0,2010-07-23T08:12:39.270000,12058,DALCANTON,10.80457798501,41.264780019,32,8045.5298,2010-07-23T11:26:38,2010-07-23T08:53:11.297000,JBF305010,,9
JBF305020,M31-B01-F02-WFC,1,0,0,ACS   ,WFC,F475W;CLEAR2L,1720.0,2010-07-23T09:45:30.280000,12058,DALCANTON,10.80457934028,41.26477976655,32,4746.957,2010-07-23T13:39:57,2010-07-23T10:28:57.310000,JBF305020,,9
IBF303050,M31-B01-F03-IR,1,0,0,WFC3  ,IR-FIX,F160W,1197.693786,2010-12-18T02:46:46.103000,12058,DALCANTON,10.76843916667,41.28183333333,32,15369.176,2010-12-18T11:46:15,2010-12-18T03:24:05.333000,IBF303050,,9
IBF303DHQ,M31-B01-F03-IR,0,0,0,WFC3  ,IR-FIX,F110W,799.231873,2010-12-18T02:54:27.093000,12058,DALCANTON,10.7684960306,41.28187131892,32,11534.459,2010-12-18T11:35:14,2010-12-18T03:07:46.327000,IBF303DHQ,,1
IBF303DSQ,M31-B01-F03-IR,0,0,0,WFC3  ,IR-FIX,F160W,499.231873,2010-12-18T04:22:42.103000,12058,DALCANTON,10.76846909905,41.28188534522,32,15369.176,2010-12-18T11:36:21,2010-12-18T04:31:01.333000,IBF303DSQ,,
IBF303030,M31-B01-F03-UVIS,0,0,0,WFC3  ,UVIS-CENTER,F336W,0.0,2010-12-17T23:52:58.600000,12058,DALCANTON,10.76968705854,41.2819228095,32,3354.6558,2010-12-18T04:12:05,2010-12-18T00:02:08.597000,IBF303030,,
IBF303040,M31-B01-F03-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F275W,1010.0,2010-12-18T00:28:18.600000,12058,DALCANTON,10.76968705854,41.2819228095,32,2706.4933,2010-12-18T04:28:39,2010-12-18T01:37:47.573000,IBF303040,,
IBF319020,M31-B01-F03-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F336W,1350.0,2011-01-03T13:54:04.583000,12058,DALCANTON,10.76968705854,41.2819228095,32,3354.57375,2011-01-03T18:17:42,2011-01-03T14:27:35.607000,IBF319020,,9
IBF319030,M31-B01-F03-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F275W,1010.0,2011-01-03T14:05:45.607000,12058,DALCANTON,10.76968705854,41.2819228095,32,2706.4933,2011-01-03T18:21:50,2011-01-03T15:32:13.590000,IBF319030,,9
JBF306010,M31-B01-F03-WFC,1,0,0,ACS   ,WFC,CLEAR1L;F814W,1520.0,2010-07-21T19:32:16.257000,12058,DALCANTON,10.76450167226,41.27820221312,32,8045.5298,2010-07-22T12:50:51,2010-07-21T20:12:40.193000,JBF306010,,9
JBF306020,M31-B01-F03-WFC,1,0,0,ACS   ,WFC,F475W;CLEAR2L,1720.0,2010-07-21T21:01:02.280000,12058,DALCANTON,10.76450302781,41.27820196067,32,4746.957,2010-07-22T13:44:24,2010-07-21T21:44:29.310000,JBF306020,,9
IBF304050,M31-B01-F04-IR,1,0,0,WFC3  ,IR-FIX,F160W,1596.925048,2010-07-22T22:34:11.827000,12058,DALCANTON,10.72745208333,41.29525555556,32,15369.176,2010-07-23T04:28:53,2010-07-22T23:18:49.077000,IBF304050,,9
IBF304UVQ,M31-B01-F04-IR,0,0,0,WFC3  ,IR-FIX,F110W,699.232483,2010-07-22T22:41:52.820000,12058,DALCANTON,10.72737177944,41.29520162848,32,11534.459,2010-07-23T04:17:44,2010-07-22T22:53:32.083000,IBF304UVQ,,1
IBF304030,M31-B01-F04-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F336W,1250.0,2010-07-22T21:04:13.350000,12058,DALCANTON,10.72620393816,41.29516606578,32,3354.57375,2010-07-23T01:59:33,2010-07-22T21:36:04.340000,IBF304030,,9
IBF304040,M31-B01-F04-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F275W,925.0,2010-07-22T21:15:54.343000,12058,DALCANTON,10.72620393816,41.29516606578,32,2706.4933,2010-07-23T02:02:10,2010-07-22T21:48:17.333000,IBF304040,,9
JBF301010,M31-B01-F04-WFC,1,0,0,ACS   ,WFC,CLEAR1L;F814W,1715.0,2010-12-14T03:26:22.530000,12058,DALCANTON,10.73135302358,41.29876766185,32,8045.5303,2010-12-14T20:05:52,2010-12-14T05:02:59.577000,JBF301010,,9
JBF301020,M31-B01-F04-WFC,1,0,0,ACS   ,WFC,F475W;CLEAR2L,1900.0,2010-12-14T06:05:52.297000,12058,DALCANTON,10.7313516667,41.29876791155,32,4746.957,2010-12-14T22:32:59,2010-12-14T06:52:19.443000,JBF301020,,9
IBF305050,M31-B01-F05-IR,1,0,0,WFC3  ,IR-FIX,F160W,1596.925048,2010-07-23T09:45:05.843000,12058,DALCANTON,10.68735166667,41.30867777778,32,15369.176,2010-07-23T13:10:41,2010-07-23T10:29:43.060000,IBF305050,,9
IBF305Y1Q,M31-B01-F05-IR,0,0,0,WFC3  ,IR-FIX,F110W,699.232483,2010-07-23T09:52:46.837000,12058,DALCANTON,10.68727134625,41.3086238507,32,11534.459,2010-07-23T12:58:31,2010-07-23T10:04:26.067000,IBF305Y1Q,,1
IBF305030,M31-B01-F05-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F336W,1250.0,2010-07-23T08:11:15.333000,12058,DALCANTON,10.68610326458,41.308588288,32,3354.57375,2010-07-23T10:58:17,2010-07-23T08:43:15.317000,IBF305030,,9
IBF305040,M31-B01-F05-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F275W,925.0,2010-07-23T08:23:05.317000,12058,DALCANTON,10.68610326458,41.308588288,32,2706.4933,2010-07-23T10:55:43,2010-07-23T08:55:28.340000,IBF305040,,9
JBF302010,M31-B01-F05-WFC,1,0,0,ACS   ,WFC,CLEAR1L;F814W,1715.0,2010-12-16T15:51:08.513000,12058,DALCANTON,10.69122804488,41.31218985594,32,8045.5303,2010-12-17T01:27:25,2010-12-16T16:34:46.587000,JBF302010,,9
JBF302020,M31-B01-F05-WFC,1,0,0,ACS   ,WFC,F475W;CLEAR2L,1900.0,2010-12-16T17:12:55.523000,12058,DALCANTON,10.69122668773,41.31219010564,32,4746.957,2010-12-17T03:56:38,2010-12-16T19:35:02.553000,JBF302020,,9
IBF306050,M31-B01-F06-IR,1,0,0,WFC3  ,IR-FIX,F160W,1596.925048,2010-07-21T21:00:37.843000,12058,DALCANTON,10.64725125,41.3221,32,15369.176,2010-07-22T13:02:18,2010-07-21T21:45:15.060000,IBF306050,,9
IBF306O5Q,M31-B01-F06-IR,0,0,0,WFC3  ,IR-FIX,F110W,699.232483,2010-07-21T21:08:18.837000,12058,DALCANTON,10.64717091304,41.32204607292,32,11534.459,2010-07-22T12:38:28,2010-07-21T21:19:58.067000,IBF306O5Q,,1
IBF306030,M31-B01-F06-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F336W,1250.0,2010-07-21T19:30:53.350000,12058,DALCANTON,10.64600259082,41.32201051021,32,3354.57375,2010-07-22T12:32:19,2010-07-21T20:02:44.340000,IBF306030,,9
IBF306040,M31-B01-F06-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F275W,925.0,2010-07-21T19:42:34.343000,12058,DALCANTON,10.64600259082,41.32201051021,32,2706.4933,2010-07-22T12:33:26,2010-07-21T20:14:57.333000,IBF306040,,9
JBF303010,M31-B01-F06-WFC,1,0,0,ACS   ,WFC,CLEAR1L;F814W,1686.679993,2010-12-17T23:54:22.530000,12058,DALCANTON,10.65110346648,41.32561205002,32,8045.5303,2010-12-18T07:11:33,2010-12-18T01:35:40.570000,JBF303010,,
JBF303020,M31-B01-F06-WFC,1,0,0,ACS   ,WFC,F475W;CLEAR2L,1900.0,2010-12-18T02:47:10.530000,12058,DALCANTON,10.65110210904,41.32561229972,32,4746.957,2010-12-18T12:20:43,2010-12-18T04:30:15.577000,JBF303020,,9
JBF319010,M31-B01-F06-WFC,1,0,0,ACS   ,WFC,CLEAR1L;F814W,1715.0,2011-01-03T13:55:28.570000,12058,DALCANTON,10.65110346648,41.32561205002,32,8045.5303,2011-01-04T03:28:43,2011-01-03T15:30:06.610000,JBF319010,,9
IBF307050,M31-B01-F07-IR,1,0,0,WFC3  ,IR-FIX,F160W,1197.693786,2010-12-22T04:21:19.093000,12058,DALCANTON,10.82853208333,41.22103333333,32,15369.176,2010-12-22T08:02:10,2010-12-22T04:58:38.327000,IBF307050,,9
IBF307QBQ,M31-B01-F07-IR,0,0,0,WFC3  ,IR-FIX,F110W,799.231873,2010-12-22T04:29:00.087000,12058,DALCANTON,10.82858889436,41.22107131892,32,11534.459,2010-12-22T07:50:36,2010-12-22T04:42:19.317000,IBF307QBQ,,1
IBF307QMQ,M31-B01-F07-IR,0,0,0,WFC3  ,IR-FIX,F160W,499.231873,2010-12-22T05:00:37.077000,12058,DALCANTON,10.82856198786,41.22108534522,32,15369.176,2010-12-22T07:48:18,2010-12-22T05:08:56.310000,IBF307QMQ,,
IBF307030,M31-B01-F07-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F336W,1350.0,2010-12-22T02:04:37.577000,12058,DALCANTON,10.82977881437,41.22112280952,32,3354.57375,2010-12-22T06:18:44,2010-12-22T03:07:09.590000,IBF307030,,9
IBF307040,M31-B01-F07-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F275W,1010.0,2010-12-22T02:45:19.593000,12058,DALCANTON,10.82977881437,41.22112280952,32,2706.4933,2010-12-22T06:19:11,2010-12-22T03:42:21.590000,IBF307040,,9
JBF310010,M31-B01-F07-WFC,1,0,0,ACS   ,WFC,CLEAR1L;F814W,1520.0,2010-07-21T22:44:03.270000,12058,DALCANTON,10.82448553347,41.21740234031,32,8045.5298,2010-07-22T14:37:09,2010-07-21T23:24:26.303000,JBF310010,,9
JBF310020,M31-B01-F07-WFC,1,0,0,ACS   ,WFC,F475W;CLEAR2L,1720.0,2010-07-22T00:18:03.270000,12058,DALCANTON,10.82448688776,41.21740208787,32,4746.957,2010-07-22T15:23:53,2010-07-22T02:04:30.303000,JBF310020,,9
IBF308050,M31-B01-F08-IR,1,0,0,WFC3  ,IR-FIX,F160W,1197.693786,2010-12-24T23:31:31.093000,12058,DALCANTON,10.78843166667,41.23445555556,32,15369.176,2010-12-25T04:07:23,2010-12-25T01:14:06.327000,IBF308050,,9
IBF308DYQ,M31-B01-F08-IR,0,0,0,WFC3  ,IR-FIX,F110W,799.231873,2010-12-25T00:06:39.093000,12058,DALCANTON,10.78848848937,41.23449354115,32,11534.459,2010-12-25T03:56:16,2010-12-25T00:19:58.327000,IBF308DYQ,,1
IBF308EEQ,M31-B01-F08-IR,0,0,0,WFC3  ,IR-FIX,F160W,499.231873,2010-12-25T01:16:05.077000,12058,DALCANTON,10.78846157734,41.23450756745,32,15369.176,2010-12-25T03:57:32,2010-12-25T01:24:24.310000,IBF308EEQ,,
IBF308030,M31-B01-F08-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F336W,1350.0,2010-12-24T21:10:44.583000,12058,DALCANTON,10.78967865367,41.23454503174,32,3354.57375,2010-12-25T02:32:01,2010-12-24T22:42:06.583000,IBF308030,,9
IBF308040,M31-B01-F08-UVIS,1,0,0,WFC3  ,UVIS-CENTER,F275W,1010.0,2010-12-24T21:55:35.593000,12058,DALCANTON,10.78967865367,41.23454503174,32,2706.4933,2010-12-25T02:33:47,2010-12-24T22:55:44.597000,IBF308040,,9
JBF311010,M31-B01-F08-WFC,1,0,0,ACS   ,WFC,CLEAR1L;F814W,1520.0,2010-07-23T21:02:53.257000,12058,DALCANTON,10.78440916311,41.23082453447,32,8045.5298,2010-07-24T01:23:41,2010-07-23T21:43:16.320000,JBF311010,,9
JBF311020,M31-B01-F08-WFC,1,0,0,ACS   ,WFC,F475W;CLEAR2L,1720.0,2010-07-23T22:31:33.257000,12058,DALCANTON,10.78441051768,41.23082428203,32,4746.957,2010-07-24T04:15:52,2010-07-23T23:15:00.320000,JBF311020,,9
IBF309050,M31-B01-F09-IR,1,0,0,WFC3  ,IR-FIX,F160W,1197.693786,2010-12-25T13:05:18.103000,12058,DALCANTON,10.74833125,41.24787777778,32,15369.176,2010-12-25T21:08:19,2010-12-25T14:30:35.317000,IBF309050,,9
IBF309GQQ,M31-B01-F09-IR,0,0,0,WFC3  ,IR-FIX,F110W,799.231873,2010-12-25T14:00:57.077000,12058,DALCANTON,10.74838808437,41.24791576337,32,11534.459,2010-12-25T20:58:33,2010-12-25T14:14:16.310000,IBF309GQQ,,1
IBF309H1Q,M31-B01-F09-IR,0,0,0,WFC3  ,IR-FIX,F160W,499.231873,2010-12-25T14:32:34.103000,12058,DALCANTON,10.74836116682,41.24792978967,32,15369.176,2010-12-25T20:59:10,2010-12-25T14:40:53.333000,IBF309H1Q,,
